***************************
* A  Z          MASS       
 34 15  -24557.553    5.006
 34 16  -29931.810    0.127
 34 17  -24439.610    0.205
 34 18  -18378.286    3.011
 34 19#  -1481.0    298.0  
 34 20#  13153.0    298.0  
 35 11#  41153.0   1546.0  
 35 12#  16292.0    438.0  
 35 13     -58.079  140.929
 35 14  -14359.766   38.412
 35 15  -24857.617    1.872
 35 16  -28846.331    0.123
 35 17  -29013.514    0.039
 35 18  -23048.209    0.770
 35 19  -11167.108   20.002
 35 20#   4439.0     69.0  
 36 12#  20912.0    904.0  
 36 13    5916.384  270.117
 36 14  -12400.639  103.104
 36 15  -20250.844   13.114
 36 16  -30663.962    0.235
 36 17  -29521.887    0.077
 36 18  -30230.461    0.255
 36 19  -17425.100    7.785
 36 20   -6439.200   40.001
 36 21#  13898.0    503.0  
 37 13    9603.702  539.335
 37 14   -6524.192  125.381
 37 15  -18994.712   37.948
 37 16  -26896.222    0.251
 37 17  -31761.523    0.048
 37 18  -30948.042    0.305
 37 19  -24799.262    0.271
 37 20  -13160.608   22.363
 37 21#   2841.0    298.0  
 38 13#  15742.0    559.0  
 38 14   -3744.605  270.133
 38 15  -14466.100  139.724
 38 16  -26861.080    7.172
 38 17  -29797.980    0.111
 38 18  -34714.762    0.492
 38 19  -28801.684    0.725
 38 20  -22059.045    4.561
 38 21#  -4937.0    298.0  
 38 22#   9101.0    252.0  
 39 14#   2142.0    401.0  
 39 15  -12649.687  149.039
 39 16  -23161.338   50.000
 39 17  -29799.785    1.768
 39 18  -33241.837    5.008
 39 19  -33806.837    0.280
 39 20  -27276.257    1.788
 39 21  -14168.015   24.002
 39 22#   1232.0    103.0  
 40 14#   5403.0    503.0  
 40 15   -8336.870  195.614
 40 16  -22849.544  232.873
 40 17  -27557.728   32.066
 40 18  -35039.889    0.005
 40 19  -33535.017    0.271
 40 20  -34846.111    0.293
 40 21  -20526.387    4.106
 40 22   -8850.211  160.000
 40 23#  10330.0    503.0  
 41 14#  11830.0    596.0  
 41 15   -4843.768  465.747
 41 16  -18601.932  214.244
 41 17  -27339.148   64.786
 41 18  -33067.261    0.653
 41 19  -35558.873    0.261
 41 20  -35137.488    0.374
 41 21  -28642.207    0.305
 41 22# -15713.0     35.0  
 41 23#   -242.0    252.0  
 42 15#     84.0    503.0  
 42 16  -17241.951  326.023
 42 17  -24987.328  109.201
 42 18  -34422.064   40.000
 42 19  -35021.320    0.301
 42 20  -38546.768    0.378
 42 21  -32120.915    0.393
 42 22  -25120.880    5.456
 42 23#  -8169.0    196.0  
 42 24#   5990.0    298.0  
 43 15#   3083.0    503.0  
 43 16  -12482.018  838.344
 43 17  -24029.389  161.753
 43 18  -31977.614   70.123
 43 19  -36593.047    8.957
 43 20  -38408.447    0.482
 43 21  -36187.627    1.895
 43 22  -29320.315    6.906
 43 23# -18024.0    233.0  
 43 24#  -2136.0     87.0  
 44 16# -10880.0    596.0  
 44 17  -19991.058  221.299
 44 18  -32262.122   20.425
 44 19  -35810.228   35.787
 44 20  -41469.100    0.851
 44 21  -37815.816    1.802
 44 22  -37548.300    0.759
 44 23# -23846.0     84.0  
 44 24# -13535.0    130.0  
 44 25#   6399.0    503.0  
 45 16#  -4825.0    801.0  
 45 17  -18909.325  652.046
 45 18  -29719.414   60.143
 45 19  -36608.078   10.276
 45 20  -40812.543    0.896
 45 21  -41069.365    1.090
 45 22  -39006.939    1.202
 45 23  -31873.711   17.051
 45 24# -19412.0    102.0  
 45 25#  -5114.0    298.0  
 45 26#  13563.0    401.0  
 46 17# -14792.0    503.0  
 46 18  -29720.822   40.897
 46 19  -35419.016   15.563
 46 20  -43134.961    2.365
 46 21  -41758.664    1.096
 46 22  -44125.372    1.116
 46 23  -37073.963    1.499
 46 24  -29470.963   20.056
 46 25# -12370.0    112.0  
 46 26#    755.0    354.0  
 47 17# -11225.0    801.0  
 47 18  -25908.431  100.086
 47 19  -35696.970    7.997
 47 20  -42339.745    2.322
 47 21  -44331.681    2.095
 47 22  -44931.782    0.977
 47 23  -42003.963    1.119
 47 24  -34552.477   14.062
 47 25# -22263.0    158.0  
 47 26#  -6623.0    261.0  
 48 18# -23222.0    298.0  
 48 19  -32124.561   24.117
 48 20  -44214.825    4.147
 48 21  -44492.880    5.285
 48 22  -48487.050    0.977
 48 23  -44474.709    2.605
 48 24  -42815.420    7.404
 48 25# -29286.0     71.0  
 48 26# -18108.0    102.0  
 48 27#   1798.0    401.0  
 49 19  -30320.129   70.124
 49 20  -41290.129    4.164
 49 21  -46552.348    4.065
 49 22  -48558.090    0.978
 49 23  -47956.229    1.284
 49 24  -45325.554    2.568
 49 25  -37610.679   24.037
 49 26# -24582.0    158.0  
 49 27#  -9883.0    261.0  
 50 19  -25352.708  278.440
 50 20  -39571.538    9.297
 50 21  -44537.591   15.563
 50 22  -51425.898    0.979
 50 23  -49217.653    1.309
 50 24  -50254.580    1.324
 50 25  -42621.627    1.352
 50 26  -34471.637   60.015
 50 27# -17503.0    168.0  
 50 28#  -3791.0    261.0  
 51 20  -35904.669   87.616
 51 21  -43218.883   20.425
 51 22  -49726.902    1.337
 51 23  -52197.611    1.306
 51 24  -51444.879    1.313
 51 25  -48237.079    1.339
 51 26  -40217.445   15.059
 51 27# -27470.0    149.0  
 51 28# -11439.0    261.0  
 52 20  -32509.136  465.747
 52 21  -40455.933  157.669
 52 22  -49464.073    7.138
 52 23  -51437.527    1.326
 52 24  -55413.133    1.425
 52 25  -50701.276    2.360
 52 26  -48329.276   10.275
 52 27# -34316.0     65.0  
 52 28# -22654.0     84.0  
 52 29#  -2627.0    261.0  
 53 20# -27898.0    503.0  
 53 21# -37968.0    298.0  
 53 22  -46824.943  100.058
 53 23  -51844.943    3.405
 53 24  -55280.975    1.421
 53 25  -54683.962    1.456
 53 26  -50941.412    2.107
 53 27  -42639.395   18.058
 53 28# -29379.0    158.0  
 53 29# -13460.0    261.0  
 54 21  -33999.526  329.333
 54 22  -45607.901  157.669
 54 23  -49887.069   15.066
 54 24  -56928.660    1.410
 54 25  -55551.606    1.738
 54 26  -56248.548    1.330
 54 27  -48005.455    1.348
 54 28  -39206.353   50.021
 54 29# -21694.0    214.0  
 54 30#  -6567.0    401.0  
 55 21# -30301.0   1025.0  
 55 22  -41706.247  177.474
 55 23  -49147.637  100.011
 55 24  -55103.637    1.465
 55 25  -57706.727    1.369
 55 26  -57475.128    1.350
 55 27  -54023.864    1.366
 55 28  -45330.161   11.094
 55 29# -32118.0    196.0  
 55 30# -14923.0    252.0  
 56 22  -39132.057  279.448
 56 23  -46157.074  167.863
 56 24  -55288.935    9.591
 56 25  -56905.894    1.401
 56 26  -60601.342    1.373
 56 27  -56035.342    2.426
 56 28  -53899.784   11.131
 56 29# -38601.0    140.0  
 56 30# -25728.0    261.0  
 56 31#  -4741.0    261.0  
 57 22# -34046.0    931.0  
 57 23  -44277.235  208.458
 57 24  -52392.898   85.731
 57 25  -57485.197    3.331
 57 26  -60176.046    1.376
 57 27  -59339.975    1.401
 57 28  -56075.725    2.927
 57 29  -47305.518   15.712
 57 30# -32686.0    143.0  
 57 31# -16413.0    261.0  
 58 23  -40315.054  184.426
 58 24  -51894.203  160.468
 58 25  -55902.368   30.033
 58 26  -62149.179    1.400
 58 27  -59841.729    1.736
 58 28  -60223.264    1.445
 58 29  -51660.216    2.547
 58 30  -42293.364   50.021
 58 31# -23986.0    214.0  
 58 32#  -8374.0    317.0  
 59 23  -37911.800  326.023
 59 24  -47772.787  167.090
 59 25  -55473.435   28.770
 59 26  -60658.756    1.414
 59 27  -62223.905    1.429
 59 28  -61151.378    1.443
 59 29  -56351.797    1.686
 59 30  -47257.659   37.177
 59 31# -34121.0    168.0  
 59 32# -17000.0    279.0  
 60 23  -33068.032  558.896
 60 24  -46826.196  260.818
 60 25  -52774.828  187.222
 60 26  -61407.258    3.669
 60 27  -61644.513    1.430
 60 28  -64468.380    1.425
 60 29  -58341.489    2.509
 60 30  -54183.356   10.637
 60 31# -39998.0    112.0  
 60 32# -27768.0    233.0  
 60 33#  -6399.0    596.0  
 61 24  -42764.883  279.448
 61 25  -51570.376  190.673
 61 26  -58917.798   20.053
 61 27  -62895.351    1.614
