***************************
* A  Z          MASS       
101 47  -81224.861  104.409
101 48  -75748.323  150.936
101 49# -68409.0    298.0  
101 50# -59560.0    503.0  
102 38  -53078.260  111.170
102 39  -61893.260   86.364
102 40  -71743.260   50.584
102 41  -76348.260   40.728
102 42  -83558.260   20.827
102 43  -84568.192    9.486
102 44  -89098.535    2.040
102 45  -86775.937    4.990
102 46  -87926.395    3.229
102 47  -82003.148   54.865
102 48  -79416.148   55.445
102 49  -70515.892  327.110
102 50# -64748.0    401.0  
103 39# -58591.0    298.0  
103 40  -68374.982  108.755
103 41  -75319.982   67.843
103 42  -80849.982   60.849
103 43  -84599.982   10.130
103 44  -87259.601    2.055
103 45  -88022.859    2.829
103 46  -87479.773    2.924
103 47  -84791.830   16.699
103 48  -80649.885   15.395
103 49  -74599.885   25.239
103 50# -66946.0    298.0  
104 39# -54912.0    401.0  
104 40# -66341.0    401.0  
104 41  -72229.130  108.572
104 42  -80334.130   60.728
104 43  -82489.130   45.694
104 44  -88091.836    3.551
104 45  -86950.586    2.829
104 46  -89391.582    4.746
104 47  -85112.936    6.207
104 48  -83975.966    9.521
104 49  -76067.280  141.269
104 50  -71552.280  153.482
104 51# -59029.0    596.0  
105 40# -62364.0    401.0  
105 41  -70855.587   99.813
105 42  -77340.587   71.152
105 43  -82290.587   55.115
105 44  -85930.587    3.554
105 45  -87847.572    4.520
105 46  -88414.320    4.698
105 47  -87068.657   10.833
105 48  -84329.991   11.347
105 49  -79480.991   17.256
105 50  -73232.917   82.355
105 51# -63910.0    503.0  
106 40# -60184.0    503.0  
106 41# -66984.0    298.0  
106 42  -76257.003   21.729
106 43  -79777.003   13.533
106 44  -86324.003    7.883
106 45  -86363.403    7.880
106 46  -89904.503    4.701
106 47  -86939.223    5.298
106 48  -87133.808    6.009
106 49  -80612.476   12.770
106 50  -77428.073   50.411
106 51# -66353.0    313.0  
106 52# -58000.0    402.0  
107 41# -65037.0    401.0  
107 42  -72940.581  161.631
107 43  -79100.581  150.082
107 44  -83920.581  123.692
107 45  -86860.997   11.987
107 46  -88372.158    6.298
107 47  -88405.165    5.568
107 48  -86988.165    6.856
107 49  -83562.165   12.962
107 50  -78562.451   84.216
107 51# -70654.0    298.0  
107 52# -60519.0    302.0  
108 41# -60994.0    503.0  
108 42# -71300.0    144.0  
108 43  -75935.084  130.542
108 44  -83655.084  120.587
108 45  -85016.409  105.063
108 46  -89521.409    3.626
108 47  -87603.442    5.601
108 48  -89252.881    5.695
108 49  -84105.313   12.014
108 50  -82013.184   27.347
108 51# -72507.0    205.0  
108 52  -65685.709  153.538
108 53# -52569.0    598.0  
109 42# -67356.0    298.0  
109 43# -74867.0     96.0  
109 44  -80851.953   66.094
109 45  -85011.953   11.977
109 46  -87603.384    3.616
109 47  -88719.325    3.120
109 48  -88505.512    3.956
109 49  -86485.199    5.925
109 50  -82634.795    9.942
109 51  -76254.795   18.837
109 52  -67582.406   65.439
109 53  -57576.360  153.550
110 42# -65670.0    401.0  
110 43# -71362.0    401.0  
110 44  -80139.715  229.389
110 45  -82949.715  223.874
110 46  -88349.715   10.927
110 47  -87457.201    3.119
110 48  -90349.326    2.959
110 49  -86471.406   11.920
110 50  -85833.723   15.584
110 51# -77534.0    201.0  
110 52  -72279.993   52.760
110 53# -60347.0    309.0  
110 54# -51689.0    402.0  
111 43# -69815.0    401.0  
111 44# -76792.0    298.0  
111 45# -82288.0    205.0  
111 46  -86029.043   40.134
111 47  -88217.043    3.280
111 48  -89253.843    2.960
111 49  -88387.874    5.232
111 50  -85942.972    7.095
111 51# -80843.0    200.0  
111 52  -73474.754   71.714
111 53# -64951.0    302.0  
111 54# -54381.0    306.0  
112 43# -65913.0    503.0  
112 44# -75867.0    507.0  
112 45# -79537.0    500.0  
112 46  -86336.807   17.960
112 47  -86624.725   16.892
112 48  -90580.643    2.777
112 49  -87994.447    5.144
112 50  -88657.898    4.224
112 51  -81602.922   23.451
112 52  -77259.098  162.090
112 53# -67096.0    211.0  
112 54  -59943.683  154.042
112 55# -46292.0    366.0  
113 43# -63966.0    596.0  
113 44# -72154.0    503.0  
113 45# -78786.0    401.0  
113 46  -83693.066   38.854
113 47  -87033.066   16.870
113 48  -89049.527    2.772
113 49  -89365.366    3.298
113 50  -88329.455    3.978
113 51  -84424.015   24.369
113 52# -78324.0    201.0  
113 53  -71123.984   53.431
113 54  -62061.438   81.745
113 55  -51677.177  154.604
114 44# -70794.0    361.0  
114 45# -75594.0    301.0  
114 46  -83493.773   24.533
114 47  -84944.485   26.202
114 48  -90020.914    2.777
114 49  -88568.401    3.194
114 50  -90557.067    3.168
114 51  -84675.559  201.109
114 52# -81933.0    201.0  
114 53# -72796.0    298.0  
114 54# -66935.0    207.0  
114 55# -54565.0    305.0  
115 44# -66779.0    699.0  
115 45  -74402.969  503.706
115 46  -80402.969   60.993
115 47  -84986.969   34.930
115 48  -88090.454    2.823
115 49  -89536.112    4.191
115 50  -90031.407    2.991
115 51  -87001.407   20.222
115 52  -82362.741  107.899
115 53# -76403.0    498.0  
115 54# -68444.0    240.0  
115 55# -59677.0    426.0  
115 56# -48708.0    801.0  
116 44# -65158.0    801.0  
116 45# -71053.0    503.0  
116 46  -79952.561   53.948
116 47  -82559.561   44.837
116 48  -88719.361    3.223
116 49  -88249.098    4.269
116 50  -91523.495    2.990
116 51  -86816.069    5.894
116 52  -85316.165   92.013
116 53  -77571.016  142.643
116 54# -72911.0    246.0  
116 55  -62434.042  260.972
116 56# -54325.0    699.0  
117 45# -69536.0    699.0  
117 46# -76532.0    298.0  
117 47  -82243.270   44.849
117 48  -86425.270    3.375
117 49  -88941.446    5.251
117 50  -90396.689    2.923
117 51  -88640.070    9.408
117 52  -85105.330   19.042
117 53  -80451.624   68.517
117 54  -74005.482  179.798
117 55  -66481.780   97.103
117 56# -56962.0    648.0  
118 45# -65736.0    801.0  
118 46  -75543.855  223.920
118 47  -79643.855  100.698
118 48  -86708.536   20.258
118 49  -87228.365    7.965
118 50  -91651.675    2.885
118 51  -87995.043    4.144
118 52  -87717.303   15.853
118 53  -80672.747   78.306
118 54  -77728.062 1000.251
118 55  -68428.062   22.406
118 56# -62000.0    503.0  
118 57# -49844.0    801.0  
119 45# -63938.0    904.0  
119 46# -72023.0    298.0  
119 47  -78554.956   72.329
119 48  -83904.956   60.261
119 49  -87701.604    7.501
119 50  -90065.593    2.819
119 51  -89471.797    8.156
119 52  -87178.786    8.396
119 53  -83665.239   63.409
119 54  -78663.618  123.469
119 55  -72335.745   24.402
119 56  -64239.093 1020.050
119 57# -54818.0    801.0  
120 46# -70766.0    401.0  
120 47  -75773.030  101.750
120 48  -83973.030   18.792
120 49  -85731.461   40.080
120 50  -91101.461    2.534
120 51  -88420.861    7.576
120 52  -89398.860   10.410
120 53  -83783.860   18.258
120 54  -81823.860   43.970
120 55  -73901.979   21.098
120 56  -68901.979  300.741
120 57# -57687.0    801.0  
121 46# -66900.0    503.0  
121 47  -74547.293  194.044
121 48  -80947.293  152.490
121 49  -85837.293   27.442
121 50  -89200.924    2.507
121 51  -89589.004    2.406
121 52  -88552.741   25.236
121 53  -86281.936   11.234
121 54  -82549.560   23.985
121 55  -77149.560   13.239
121 56  -70334.891  303.205
121 57# -62401.0    699.0  
121 58# -52471.0    904.0  
122 47# -71427.0    205.0  
122 48# -80574.0    205.0  
122 49  -83575.387   50.073
122 50  -89943.978    2.699
122 51  -88324.278    2.421
122 52  -90302.898    2.696
122 53  -86068.898    5.681
122 54  -85174.435   87.067
122 55  -78119.721   14.638
122 56# -74277.0    298.0  
122 57# -64543.0    596.0  
122 58# -57743.0    904.0  
123 47# -69955.0    298.0  
123 48  -77312.611   40.426
123 49  -83427.611   23.351
123 50  -87818.646    2.684
123 51  -89222.237    2.004
123 52  -89170.927    1.862
123 53  -87928.757    3.916
123 54  -85252.757   15.503
123 55  -81052.509   11.529
123 56# -75591.0    298.0  
123 57# -68707.0    503.0  
123 58# -60072.0    801.0  
124 47# -66574.0    401.0  
124 48  -76710.219   62.641
124 49  -80876.219   49.020
124 50  -88236.219    1.392
124 51  -87618.365    2.003
124 52  -90523.735    1.489
124 53  -87364.148    2.382
124 54  -87657.818    1.955
124 55  -81740.825   11.451
124 56  -79094.331   14.306
124 57# -70300.0    401.0  
124 58# -64720.0    699.0  
124 59# -53021.0    904.0  
125 48  -73320.861   49.836
125 49  -80479.861   25.191
125 50  -85897.895    1.497
125 51  -88261.653    2.840
125 52  -89028.353    1.889
125 53  -88842.253    1.912
125 54  -87189.783    1.995
125 55  -84097.652    8.924
125 56  -79537.652  250.159
125 57# -73895.0    298.0  
125 58# -66565.0    596.0  
125 59# -57809.0    801.0  
126 48  -72326.894   54.143
126 49  -77812.894   40.441
126 50  -86019.894   10.698
126 51  -86397.894   31.850
126 52  -90070.853    1.879
126 53  -87915.596    3.874
126 54  -89173.596    6.325
126 55  -84348.014   11.001
126 56  -82675.264   14.306
126 57# -75106.0    298.0  
126 58# -70700.0    503.0  
126 59# -60258.0    699.0  
127 48  -68526.088   74.445
127 49  -76994.088   39.661
127 50  -83508.088   24.739
127 51  -86709.088    6.001
127 52  -88290.088    3.319
127 53  -88987.740    3.684
127 54  -88325.410    4.165
127 55  -86244.675    8.255
127 56  -82794.675  100.340
127 57# -78096.0    224.0  
127 58# -71958.0    401.0  
127 59# -64431.0    596.0  
127 60# -55424.0    904.0  
128 48  -67290.422  294.042
128 49  -74360.422   48.590
128 50  -83336.022   27.220
128 51  -84609.955   25.063
128 52  -88993.515    1.776
128 53  -87742.487    3.685
128 54  -89860.703    1.422
128 55  -85930.606    5.430
128 56  -85409.434   11.238
128 57  -78759.434  400.158
128 58# -75572.0    298.0  
128 59# -66322.0    503.0  
128 60# -60184.0    801.0  
129 49  -72974.890  126.027
129 50  -80629.890  121.897
129 51  -84625.890   21.421
129 52  -87005.390    2.979
129 53  -88503.339    3.286
129 54  -88696.957    0.846
129 55  -87501.485    4.627
129 56  -85068.213   10.844
129 57  -81348.213   51.162
129 58# -76298.0    206.0  
129 59# -69992.0    401.0  
129 60# -62168.0    801.0  
130 49  -69993.398   47.336
130 50  -80242.398   28.226
130 51  -82392.771   25.075
130 52  -87352.771    1.943
130 53  -86932.346    3.286
130 54  -89880.861    1.051
130 55  -86897.975    8.353
130 56  -87270.797    6.891
130 57# -81673.0    205.0  
130 58# -79466.0    205.0  
130 59# -71371.0    298.0  
130 60# -66341.0    699.0  
130 61# -55470.0    801.0  
131 49  -68199.148   79.956
131 50  -77383.148   72.829
131 51  -82021.148   70.029
131 52  -85211.148    2.007
131 53  -87443.907    1.754
131 54  -88414.754    1.646
131 55  -88063.119    5.434
131 56  -86692.974    6.892
131 57  -83732.974  100.237
131 58  -79712.974  412.368
131 59  -74462.974  438.802
131 60  -67902.974  463.732
131 61# -59802.0    801.0  
132 49  -63020.402  400.842
132 50  -76620.402   25.971
132 51  -79923.402   55.050
132 52  -85209.402   11.424
132 53  -85702.402   10.701
132 54  -89279.402    1.417
132 55  -87159.866    3.373
132 56  -88439.340    3.238
132 57  -83731.340   44.838
132 58# -82447.0    196.0  
132 59# -75339.0    205.0  
132 60# -71613.0    503.0  
132 61# -61711.0    699.0  
133 50  -71126.443  103.663
133 51  -78956.443   76.459
133 52  -82959.443   75.346
133 53  -85877.443   26.019
133 54  -87648.031    3.899
133 55  -88075.391    3.073
133 56  -87557.946    3.219
133 57  -85327.946  200.026
133 58# -82391.0    196.0  
133 59# -78059.0    205.0  
133 60# -72461.0    401.0  
133 61# -65465.0    596.0  
133 62# -57073.0    801.0  
134 50# -67226.0    298.0  
134 51  -73977.206  155.288
134 52  -82394.447  108.170
134 53  -83954.447   60.006
134 54  -88124.447    0.845
134 55  -86895.608    3.073
134 56  -88954.283    3.082
134 57  -85241.106   25.909
134 58  -84741.106  201.671
134 59# -78534.0    196.0  
134 60# -75764.0    247.0  
134 61# -66881.0    503.0  
134 62# -61460.0    699.0  
135 51  -69705.260  105.099
135 52  -77825.260   92.443
135 53  -83787.260   23.362
135 54  -86435.366    9.988
135 55  -87586.325    3.230
135 56  -87854.931    3.082
135 57  -86654.931   10.464
135 58  -84629.348   11.458
135 59  -80909.348  150.437
135 60# -76159.0    205.0  
135 61# -70141.0    401.0  
135 62# -63016.0    596.0  
135 63# -54287.0    801.0  
136 51# -65083.0    298.0  
136 52  -74423.090   48.717
136 53  -79497.900   50.157
136 54  -86424.088    7.166
136 55  -86343.124    3.599
136 56  -88891.348    3.082
136 57  -86021.348   70.068
136 58  -86494.517   47.758
136 59  -81368.170   51.046
136 60  -79157.170   56.839
136 61  -71307.170  207.920
136 62# -66788.0    503.0  
136 63# -56355.0    699.0  
137 52  -69559.166  122.473
137 53  -76500.765   27.773
137 54  -82378.225    7.171
137 55  -86550.155    3.087
137 56  -87725.786    3.082
137 57  -87125.994   47.786
137 58  -85903.894   47.759
137 59  -83201.894   48.795
137 60  -79511.894   72.780
137 61# -73932.0    165.0  
137 62# -67878.0    401.0  
137 63# -60351.0    596.0  
137 64# -51558.0    699.0  
138 52# -65931.0    205.0  
138 53  -72299.158   79.188
138 54  -80119.158   37.023
138 55  -82893.158    9.524
138 56  -88266.183    3.083
138 57  -86528.699    4.163
138 58  -87573.187   10.563
138 59  -83136.187   14.546
138 60# -82036.0    201.0  
138 61# -75136.0    447.0  
138 62# -71222.0    298.0  
138 63# -61991.0    503.0  
138 64# -55918.0    596.0  
139 53  -68842.600   31.223
139 54  -75648.600   21.115
139 55  -80705.622    4.383
139 56  -84918.291    3.083
139 57  -87235.392    3.273
139 58  -86957.392    7.727
139 59  -84828.392    8.289
139 60  -82041.892   36.314
139 61  -77519.892   50.978
139 62  -72059.892  117.681
139 63# -65382.0    401.0  
139 64# -57678.0    503.0  
139 65# -48410.0    699.0  
140 53# -64236.0    214.0  
140 54  -72999.132   61.027
140 55  -77059.132   11.146
140 56  -83277.799    8.762
140 57  -84325.040    3.272
140 58  -88086.942    3.132
140 59  -84698.942    6.768
140 60  -84476.765   19.192
140 61  -78388.144   41.805
140 62# -75368.0    204.0  
140 63# -66968.0    449.0  
140 64# -61508.0    601.0  
140 65# -50708.0   1001.0  
141 53# -60482.0    298.0  
141 54  -68321.121   90.856
141 55  -74471.121   12.443
141 56  -79726.231   10.224
141 57  -82942.178    4.991
141 58  -85444.240    3.121
141 59  -86024.945    3.081
141 60  -84202.005    4.165
141 61  -80486.974   24.157
141 62  -75943.933   12.148
141 63  -70393.933  100.735
141 64# -63146.0    298.0  
141 65# -54809.0    596.0  
141 66# -45466.0    699.0  
142 54  -65478.338  100.813
142 55  -70518.338   12.780
142 56  -77824.704    7.203
142 57  -80036.793    6.317
142 58  -84541.857    3.497
142 59  -83796.682    3.080
142 60  -85958.940    2.884
142 61  -81085.276   42.521
142 62  -78987.170   15.375
142 63  -71627.170   96.106
142 64# -67127.0    315.0  
142 65# -57067.0    768.0  
142 66# -50167.0    793.0  
143 54# -60398.0    224.0  
143 55  -67705.214   18.655
143 56  -73947.786   12.992
143 57  -78191.120   15.295
143 58  -81615.641    3.493
143 59  -83077.215    3.151
143 60  -84011.203    2.883
143 61  -82969.766    3.707
143 62  -79526.846    4.123
143 63  -74358.443   36.499
143 64  -68351.043  203.304
143 65# -60957.0    401.0  
143 66# -52192.0    503.0  
143 67# -42159.0    699.0  
144 54# -57250.0    317.0  
144 55  -63315.605   24.553
144 56  -71780.156   13.677
144 57  -74899.450   55.946
144 58  -80440.731    3.842
144 59  -80759.386    3.751
144 60  -83756.901    2.883
144 61  -81425.149    3.614
144 62  -81975.345    3.374
144 63  -75646.507   21.406
144 64# -71907.0    201.0  
144 65# -62988.0    298.0  
144 66# -56756.0    401.0  
144 67# -45000.0    596.0  
145 55  -60163.816   39.576
145 56  -68050.620   52.896
145 57  -72982.290   66.767
145 58  -77098.961   39.505
145 59  -79635.698    7.635
145 60  -81441.044    2.906
145 61  -81277.843    3.571
145 62  -80661.112    3.380
145 63  -78000.949    4.330
145 64  -72946.466   36.494
145 65  -66438.466  125.427
145 66# -58718.0    236.0  
145 67# -49611.0    596.0  
145 68# -39262.0    699.0  
146 55  -55662.517   65.021
146 56  -65038.967   66.894
146 57  -69157.045   66.513
146 58  -75703.691   61.287
146 59  -76738.817   55.846
146 60  -80934.972    2.907
146 61  -79463.019    5.020
146 62  -81005.019    4.024
146 63  -77127.179    7.194
146 64  -76097.046    5.233
146 65  -68022.046  106.195
146 66  -62862.046  145.868
146 67# -52182.0    503.0  
146 68# -44758.0    596.0  
146 69# -30846.0    699.0  
147 55  -52231.790  101.646
147 56  -61485.028   92.265
147 57  -67235.028   77.542
147 58  -72180.028   54.660
147 59  -75470.028   37.253
147 60  -78155.718    2.908
147 61  -79051.802    2.950
147 62  -79275.948    2.951
147 63  -77554.477    3.652
147 64  -75366.722    3.605
147 65  -70755.273   12.108
147 66  -64382.726   52.848
147 67# -56234.0    401.0  
147 68# -47134.0    503.0  
147 69# -36408.0    596.0  
148 55  -47523.078  357.506
148 56  -58047.965  140.913
148 57  -63162.965  127.501
148 58  -70425.318  116.773
148 59  -72485.318  219.114
148 60  -77417.318    3.312
148 61  -76877.943    6.699
148 62  -79346.155    2.964
148 63  -76238.821   17.572
148 64  -76279.221    3.374
148 65  -70586.150   30.317
148 66  -67908.150   31.924
148 67# -58508.0    271.0  
148 68# -51754.0    401.0  
148 69# -39756.0    699.0  
148 70# -30497.0    801.0  
149 55# -44209.0    298.0  
149 56# -53961.0    401.0  
149 57# -61292.0    298.0  
149 58  -66797.757   75.749
149 59  -70987.757   10.628
149 60  -74384.678    3.314
149 61  -76075.429    4.491
149 62  -77146.460    2.979
149 63  -76454.289    5.363
149 64  -75134.804    4.628
149 65  -71498.704    4.869
149 66  -67686.704   11.122
149 67  -61673.015   21.646
149 68# -53939.0    471.0  
149 69# -44367.0    596.0  
149 70# -33683.0    699.0  
150 56# -50711.0    503.0  
150 57# -57156.0    401.0  
150 58  -64993.274  120.470
150 59  -68003.274   80.081
150 60  -73693.274    3.598
150 61  -73606.794   20.216
150 62  -77060.794    2.947
150 63  -74800.139    7.035
150 64  -75771.321    6.972
150 65  -71114.921    8.296
150 66  -69321.003    5.457
150 67# -62081.0    100.0  
150 68# -57973.0    101.0  
150 69# -47143.0    503.0  
150 70# -39011.0    596.0  
150 71# -25124.0    699.0  
151 57# -54641.0    503.0  
151 58# -61460.0    298.0  
151 59  -66786.381   75.087
151 60  -70956.381    3.604
151 61  -73398.814    5.595
151 62  -74585.912    2.947
151 63  -74662.664    2.960
151 64  -74198.498    4.030
151 65  -71633.147    4.877
151 66  -68762.259    4.470
151 67  -63634.615   12.191
151 68# -58414.0    298.0  
151 69# -50884.0    359.0  
151 70# -41684.0    317.0  
151 71# -30683.0    612.0  
152 58# -59047.0    401.0  
152 59# -63463.0    298.0  
152 60  -70157.449   30.215
152 61  -71267.604   71.775
152 62  -74772.175    2.969
152 63  -72898.064    2.960
152 64  -74716.225    3.030
152 65  -70726.225   40.115
152 66  -70127.540    5.509
152 67  -63653.833   30.347
152 68  -60548.818   31.965
152 69# -51884.0    298.0  
152 70# -46419.0    356.0  
152 71# -34074.0    699.0  
153 58# -54995.0    503.0  
153 59# -61544.0    298.0  
153 60# -67068.0    205.0  
153 61  -70668.192   15.907
153 62  -72568.580    2.978
153 63  -73377.021    2.962
153 64  -72892.236    3.012
153 65  -71321.919    4.880
153 66  -69151.348    4.949
153 67  -65022.678    7.082
153 68  -60459.109   11.222
153 69  -54000.018   21.688
153 70# -47311.0    298.0  
153 71# -38480.0    596.0  
154 59# -57697.0    401.0  
154 60# -65614.0    298.0  
154 61  -68410.765  108.762
154 62  -72464.834    3.024
154 63  -71747.690    2.969
154 64  -73716.200    3.000
154 65  -70154.200   50.090
154 66  -70399.776    8.658
154 67  -64648.388    9.055
154 68  -62616.514    6.063
154 69# -54563.0    112.0  
154 70# -50074.0    101.0  
154 71# -39961.0    503.0  
154 72# -33301.0    699.0  
155 59# -55340.0    503.0  
155 60# -62010.0    401.0  
155 61# -67030.0    205.0  
155 62  -70200.711    3.039
155 63  -71827.761    2.993
155 64  -72080.004    3.001
155 65  -71258.836   12.208
155 66  -69164.336   12.060
155 67  -66062.336   23.355
155 68  -62218.848   50.199
155 69  -56640.403   13.774
155 70# -50652.0    298.0  
155 71# -42688.0    363.0  
155 72# -34689.0    596.0  
156 60# -60109.0    503.0  
156 61  -64216.663   36.292
156 62  -69371.663    9.595
156 63  -70093.954    5.894
156 64  -72545.051    3.002
156 65  -70100.655    4.690
156 66  -70534.262    6.741
156 67# -65474.0    200.0  
156 68# -64104.0    250.0  
156 69  -56885.322   58.489
156 70  -53312.361   32.779
156 71# -43866.0    302.0  
156 72# -37961.0    356.0  
156 73# -26371.0    596.0  
157 60# -56057.0    596.0  
157 61# -62224.0    298.0  
157 62  -66771.230  200.099
157 63  -69471.230    6.287
157 64  -70833.773    3.003
157 65  -70773.720    3.015
157 66  -69432.321    6.822
157 67  -66892.321   50.463
157 68  -63422.321   94.586
157 69  -58942.321  137.646
157 70  -53411.869   51.244
157 71  -46479.226   21.902
157 72# -39004.0    302.0  
157 73# -29673.0    598.0  
158 61# -58973.0    401.0  
158 62# -65270.0    205.0  
158 63  -67214.698   76.881
158 64  -70699.780    3.004
158 65  -69479.803    3.049
158 66  -70416.556    3.683
158 67  -66179.989   26.176
158 68# -65280.0    103.0  
158 69# -58750.0    144.0  
158 70  -56020.976    9.944
158 71# -47348.0    123.0  
158 72# -42245.0    101.0  
158 73# -31328.0    505.0  
158 74# -24276.0    699.0  
159 61# -56542.0    494.0  
159 62# -62224.0    298.0  
159 63  -66057.251    8.049
159 64  -68571.743    3.007
159 65  -69542.331    3.007
159 66  -69176.724    3.169
159 67  -67339.124    4.152
159 68  -64570.624    4.609
159 69  -60720.624  100.106
159 70  -55670.624  223.654
159 71  -49682.692   51.863
159 72# -43004.0    302.0  
159 73# -34517.0    366.0  
159 74# -25821.0    598.0  
160 62# -60286.0    401.0  
160 63# -63372.0    200.0  
160 64  -67951.801    3.046
160 65  -67846.186    3.020
160 66  -69681.537    3.058
160 67  -66390.037   11.039
160 68  -66062.363   51.138
160 69  -60172.363  112.317
160 70# -58162.0    206.0  
160 71# -50282.0    229.0  
160 72  -45984.784   32.914
160 73# -35896.0    306.0  
160 74# -29464.0    356.0  
160 75# -17247.0    596.0  
161 62# -56802.0    503.0  
161 63# -61777.0    298.0  
161 64  -65515.878    3.206
161 65  -67471.478    3.058
161 66  -68064.578    3.058
161 67  -67205.799    3.610
161 68  -65203.131    9.516
161 69  -62039.131   89.947
161 70# -57889.0    219.0  
161 71# -52589.0    241.0  
161 72  -46265.260   71.596
161 73  -38774.415   54.586
161 74# -30656.0    306.0  
161 75# -20809.0    600.0  
162 63# -58647.0    401.0  
162 64  -64290.476    4.870
162 65  -65684.417   36.492
162 66  -68190.202    3.058
162 67  -66050.040    4.246
162 68  -66345.538    3.760
162 69  -61536.147   37.874
162 70# -59848.0    205.0  
162 71# -52628.0    228.0  
162 72  -49179.079   11.462
162 73# -39916.0    132.0  
162 74# -34146.0    101.0  
162 75# -22629.0    508.0  
162 76# -15072.0    700.0  
163 63# -56532.0    503.0  
163 64# -61488.0    298.0  
163 65  -64604.686    5.036
163 66  -66389.810    3.058
163 67  -66387.234    3.058
163 68  -65177.174    5.460
163 69  -62738.174    6.230
163 70  -59368.174  100.194
163 71  -54768.174  223.694
163 72# -49318.0    319.0  
163 73  -42508.758   72.040
163 74# -35059.0    306.0  
163 75# -26025.0    370.0  
163 76# -16722.0    600.0  
164 64# -59746.0    401.0  
164 65  -62086.569  100.047
164 66  -65976.569    3.059
164 67  -64989.854    3.214
164 68  -65952.319    3.405
164 69  -61990.319   20.288
164 70# -60994.0    102.0  
164 71# -54744.0    136.0  
164 72# -51770.0    196.0  
164 73# -43249.0    401.0  
164 74  -38281.123   32.983
164 75# -27548.0    310.0  
164 76# -20561.0    357.0  
165 64# -56467.0    503.0  
165 65# -60659.0    298.0  
165 66  -63621.135    3.061
165 67  -64907.331    3.002
165 68  -64531.048    3.417
165 69  -62938.543    3.650
165 70  -60176.543   20.330
165 71  -56256.543   82.543
165 72# -51661.0    374.0  
165 73# -45813.0    222.0  
165 74  -38808.549   87.327
165 75  -30691.586   74.025
165 76# -21914.0    310.0  
166 65# -57706.0    401.0  
166 66  -62593.312    3.087
166 67  -63079.648    3.002
166 68  -64934.121    2.959
166 69  -61894.121   11.482
166 70  -61590.473    8.303
166 71  -56110.473  160.215
166 72# -53794.0    298.0  
166 73# -46137.0    298.0  
166 74  -41897.667   12.140
166 75# -31854.0    142.0  
166 76# -25591.0    102.0  
166 77# -13501.0    510.0  
167 65# -55843.0    503.0  
167 66  -59942.224   60.277
167 67  -62292.224    5.770
167 68  -63298.921    2.949
167 69  -62550.623    3.121
167 70  -60596.333    4.891
167 71  -57466.333  100.120
167 72# -53468.0    205.0  
167 73# -48464.0    435.0  
167 74# -42224.0    315.0  
167 75# -34841.0    133.0  
167 76# -26655.0    310.0  
167 77# -17057.0    373.0  
168 66# -58470.0    298.0  
168 67  -60084.360   28.886
168 68  -62998.672    2.951
168 69  -61319.641    3.303
168 70  -61576.648    4.465
168 71  -57101.648   80.124
168 72# -55303.0    102.0  
168 73# -48633.0    368.0  
168 74# -44839.0    196.0  
168 75# -35761.0    401.0  
168 76  -30037.482   33.126
168 77# -18712.0    314.0  
168 78# -11146.0    358.0  
169 66  -55606.471  300.682
169 67  -58806.471   20.243
169 68  -60930.476    2.961
169 69  -61281.692    2.935
169 70  -60372.548    4.463
169 71  -58079.548    5.378
169 72  -54810.182   82.249
169 73# -50375.0    205.0  
169 74# -44936.0    315.0  
169 75# -38350.0    205.0  
169 76  -30666.038  100.628
169 77  -21990.875   89.329
169 78# -12649.0    314.0  
170 67  -56247.988   50.098
170 68  -60117.988    3.125
170 69  -59803.633    2.962
170 70  -60771.664    2.913
170 71  -57312.526   18.797
170 72# -56216.0    196.0  
170 73# -50217.0    196.0  
170 74# -47238.0    470.0  
170 75# -38971.0    404.0  
170 76  -33932.307   12.722
170 77# -23256.0    150.0  
170 78# -16462.0    102.0  
171 67  -54528.197  600.008
171 68  -57728.197    3.141
171 69  -59218.709    2.978
171 70  -59315.138    2.830
171 71  -57836.302    3.155
171 72# -55433.0    196.0  
171 73# -51735.0    205.0  
171 74# -47162.0    279.0  
171 75# -41492.0    344.0  
171 76# -34429.0    311.0  
171 77# -26257.0    133.0  
171 78# -17623.0    314.0  
172 68  -56492.794    4.849
172 69  -57383.342    6.151
172 70  -59263.534    2.823
172 71  -56744.282    3.328
172 72  -56394.282   50.111
172 73  -51474.282  186.845
172 74# -48974.0    274.0  
172 75# -41648.0    309.0  
172 76# -37187.0    196.0  
172 77# -27346.0    401.0  
172 78  -21148.025   33.379
172 79#  -9187.0    373.0  
173 68# -53663.0    196.0  
173 69  -56261.676    5.290
173 70  -57559.778    2.803
173 71  -56888.979    2.833
173 72# -55284.0    102.0  
173 73# -52494.0    225.0  
173 74# -48494.0    375.0  
173 75# -43722.0    450.0  
173 76# -37454.0    311.0  
173 77# -30080.0    228.0  
173 78  -21888.164  112.365
173 79  -12669.164  102.370
174 68# -52117.0    298.0  
174 69  -53873.053   44.809
174 70  -56953.053    2.803
174 71  -55578.722    2.805
174 72  -55850.952    3.281
174 73  -52005.952   80.067
174 74# -50152.0    298.0  
174 75# -43675.0    413.0  
174 76# -39941.0    470.0  
174 77# -30922.0    404.0  
174 78  -25323.850   13.521
174 79# -14049.0    150.0  
174 80#  -6817.0    143.0  
175 69  -52319.061   50.078
175 70  -54704.061    2.803
175 71  -55174.098    2.619
175 72  -54488.343    3.305
175 73# -52490.0    102.0  
175 74# -49583.0    196.0  
175 75# -45277.0    451.0  
